date_key,product_key,warehouse_key,policy_key,sku_id,warehouse,policy,on_hand_units,demand_forecast_units,demand_units,stockout,fill_rate,safety_stock_units,lead_time_days,total_cost_usd,promo_flag,holiday_flag,price_usd,weather_index,efficiency_score,cost_per_unit
20250511,1,1,3,SKU001,WH_A,ml_reorder,149,20.44,19,0,1.0,44,9,141.68,0,0,37.58,56.7,1.0,0.9445333333333333
20250512,1,1,3,SKU001,WH_A,ml_reorder,131,21.41,18,0,1.0,49,9,73.11,0,0,37.2,50.7,1.0,0.5538636363636363
20250513,1,1,3,SKU001,WH_A,ml_reorder,99,21.79,32,0,1.0,48,9,102.54,0,0,38.44,48.2,1.0,1.0254
20250514,1,1,3,SKU001,WH_A,ml_reorder,80,17.7,19,0,1.0,45,9,44.36,0,0,36.97,54.7,1.0,0.5476543209876543
20250515,1,1,3,SKU001,WH_A,ml_reorder,57,20.32,23,0,1.0,45,9,31.74,0,0,37.12,54.4,1.0,0.5472413793103448
20250516,1,1,3,SKU001,WH_A,ml_reorder,47,17.62,10,0,1.0,42,9,26.34,0,0,37.36,41.5,1.0,0.54875
20250517,1,1,3,SKU001,WH_A,ml_reorder,41,15.13,6,0,1.0,41,9,25.55,0,0,41.54,52.6,1.0,0.6083333333333334
20250518,1,1,3,SKU001,WH_A,ml_reorder,9,20.75,32,0,1.0,43,9,53.09,0,0,35.88,56.5,1.0,5.309
20250519,1,1,3,SKU001,WH_A,ml_reorder,0,17.28,11,1,0.818,47,9,119.6,0,0,37.37,45.4,0.409,119.6
20250520,1,1,3,SKU001,WH_A,ml_reorder,87,22.68,15,0,1.0,51,9,86.62,0,0,35.84,54.6,1.0,0.9843181818181819
20250521,1,1,3,SKU001,WH_A,ml_reorder,54,15.03,33,0,1.0,45,9,30.48,0,0,37.63,56.7,1.0,0.5541818181818182
20250522,1,1,3,SKU001,WH_A,ml_reorder,99,16.47,22,0,1.0,46,9,55.31,0,0,37.25,56.4,1.0,0.5531
20250523,1,1,3,SKU001,WH_A,ml_reorder,80,18.27,19,0,1.0,46,9,44.68,0,0,37.23,53.6,1.0,0.551604938271605
20250524,1,1,3,SKU001,WH_A,ml_reorder,63,17.62,17,0,1.0,44,9,70.05,0,0,38.63,59.4,1.0,1.09453125
20250525,1,1,3,SKU001,WH_A,ml_reorder,46,18.75,17,0,1.0,44,9,24.35,0,0,35.29,54.0,1.0,0.5180851063829788
20250526,1,1,3,SKU001,WH_A,ml_reorder,20,21.75,26,0,1.0,51,9,65.56,0,0,37.86,56.5,1.0,3.121904761904762
20250527,1,1,3,SKU001,WH_A,ml_reorder,70,18.8,25,0,1.0,53,9,39.68,0,0,37.79,58.3,1.0,0.5588732394366197
20250528,1,1,3,SKU001,WH_A,ml_reorder,42,19.87,28,0,1.0,46,9,58.58,0,0,41.96,54.5,1.0,1.3623255813953488
20250529,1,1,3,SKU001,WH_A,ml_reorder,81,20.53,12,0,1.0,46,9,44.51,0,0,36.63,41.9,1.0,0.5428048780487804
20250530,1,1,3,SKU001,WH_A,ml_reorder,62,21.61,19,0,1.0,50,9,34.89,0,0,37.51,61.2,1.0,0.5538095238095239
20250531,1,1,3,SKU001,WH_A,ml_reorder,62,18.33,0,0,1.0,45,9,64.22,0,0,39.75,50.5,1.0,1.0193650793650793
20250601,1,1,3,SKU001,WH_A,ml_reorder,34,20.48,28,0,1.0,47,9,19.12,0,0,37.49,53.3,1.0,0.5462857142857143
20250602,1,1,3,SKU001,WH_A,ml_reorder,37,22.34,30,0,1.0,53,9,79.76,0,0,37.22,43.6,1.0,2.0989473684210527
20250603,1,1,3,SKU001,WH_A,ml_reorder,7,23.68,30,0,1.0,55,9,41.98,0,0,36.94,51.8,1.0,5.2475
20250604,1,1,3,SKU001,WH_A,ml_reorder,63,23.93,36,0,1.0,52,9,67.5,0,0,35.18,56.2,1.0,1.0546875
20250605,1,1,3,SKU001,WH_A,ml_reorder,52,20.88,11,0,1.0,52,9,28.44,0,0,36.46,52.9,1.0,0.5366037735849056
20250606,1,1,3,SKU001,WH_A,ml_reorder,40,23.42,41,0,1.0,67,9,66.46,1,0,37.35,55.5,1.0,1.6209756097560974
